name,address,stars,rating,number of ratings,total price ($),price per night ($),description,images
Savoy Boutique Hotel by TallinnHotels,"17 Suur-Karja, 10148 Tallinn, Harjumaa",5,8.7,2283,55,18.33,"Luxury Art Deco hotel near Port of Tallinn A bar/lounge, a meeting room, and dry cleaning are available at this smoke-free hotel. WiFi in public areas is free. Additionally, a 24-hour front desk, tour/ticket assistance, and a lobby fireplace are onsite. Housekeeping is available on request. Rixwell Collection Savoy Boutique Hotel offers 44 air-conditioned accommodations with minibars and laptop-compatible safes. A pillow menu is available. 32-inch flat-screen televisions come with satellite channels. Bathrooms include bathtubs or showers with hydromassage showerheads, and hair dryers. This Tallinn hotel provides complimentary wireless Internet access, with a speed of 25+ Mbps. Business-friendly amenities include desks and phones; free local calls are provided (restrictions may apply). Housekeeping is offered on request and change of towels can be requested.Expedia GroupRead less","['https://content.r9cdn.net/rimg/himg/0b/cc/8f/expediav2-157901-6c693f-072299.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/45/ee/28/expedia_group-157901-6f75ca-938689.jpg?width=1020&height=1020&xhint=1120&yhint=629&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/35/5a/1b/expedia_group-157901-47eb79-193518.jpg?width=1020&height=1020&xhint=520&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a5/68/d6/expedia_group-157901-e448bc-294197.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/24/fc/e8/expedia_group-157901-7370ca37-671841.jpg?width=1020&height=1020&xhint=480&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10']"
Hotel Bern by TallinnHotels,"Aia 10, 10111 Tallinn, Harjumaa",5,8.3,3494,46,15.33,"Warm welcome, cosy atmosphere and modern accommodation in Tallinn Old Town. Economy Bern Hotel Tallinn provides the best and personal service and is the most helpful host to make your visit a memorable experience. Thanks to the excellent location of the Hotel, you can find innumerable sights, restaurants, boutiques, parlours and shopping centres in the immediate vicinity of the hotel. Tallinn airport is barely a 15 minutes drive from the hotel, and you can reach the passenger port as well railway station in 5 minutes.iHotelier/iStayRead less","['https://content.r9cdn.net/rimg/himg/2c/f5/7c/expediav2-166281-14842c-089608.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/f1/94/33/expediav2-166281-abae38-158273.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/65/89/91/expediav2-166281-c75371-168894.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/e3/19/54/expediav2-166281-94b1bf-118206.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/c0/91/28/ice-142146298-photo.aspx_did=2692_brochureid=53181_publicid=6161189_instanceid=3_resizing=4K-035176.jpg?width=1020&height=1020&xhint=340&yhint=210&crop=true&watermarkheight=28&watermarkpadding=10']"
Swissotel Tallinn,"Tornimae 3, 10145 Tallinn, Harjumaa",3,8.9,3599,101,33.67,"Swissôtel Tallinn is conveniently located just 15 minutes from Tallinn's International Airport.The medieval old town, a UNESCO World Heritage Site, is only a 10-minute walk away. Our 238 guest rooms and suites are thoughtfully designed with spacious interiors and offer an abundance of natural light thanks to our floor-to-ceiling windows. We provide exclusive amenities to ensure a comfortable stay for both business and leisure travelers.accorhotels.comRead less","['https://content.r9cdn.net/rimg/himg/6c/5f/e2/ice-181195-116167106-556580.jpg?width=1020&height=1020&xhint=1440&yhint=1123&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/d6/04/f0/ice-181195-92729307-220218.jpg?width=1020&height=1020&xhint=1440&yhint=1123&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/d3/98/a8/ice-181195-92729288-738116.jpg?width=1020&height=1020&xhint=1440&yhint=1123&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/9c/92/87/ice-181195-92729320-707860.jpg?width=1020&height=1020&xhint=1440&yhint=1123&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/32/74/2c/ice-181195-92729318-229943.jpg?width=1020&height=1020&xhint=1440&yhint=1123&crop=true&watermarkheight=28&watermarkpadding=10']"
Oru Hub Hotel Tallinn - Handwritten Collection,"Narva Mnt 120 B, 10127 Tallinn, Harjumaa",3,9.2,2836,61,20.33,"The Oru Hub Hotel is perfectly located close to Tallinn Old Town, with Kadriorg Park on its doorstep. Spend time relaxing in your bright and spacious bedroom, where neutral interiors create a perfect setting for rest. For remote working or social gatherings, head to the modern coworking hub. The hotel's cohesive beauty is the work of an award-winning Estonian design agency, so you can expect thoughtful touches and attractive spaces everywhere you turn.accorhotels.comRead less","['https://content.r9cdn.net/rimg/himg/48/0b/73/expediav2-100574-ac1a9b-461745.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ad/17/13/expediav2-100574-5c8768-420162.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/6f/07/27/leonardo-100574-157082690-184515.jpg?width=1020&height=1020&xhint=1500&yhint=1170&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/fe/7d/85/ice-100574-104499929-057771.jpg?width=1020&height=1020&xhint=1440&yhint=1123&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/73/49/92/leonardo-100574-157578513-921470.jpg?width=1020&height=1020&xhint=1500&yhint=1170&crop=true&watermarkheight=28&watermarkpadding=10']"
Rija Fonnental Design Hotel Tallinn,"13a L. Koidula, 10150 Tallinn, Harjumaa",5,8.6,1408,48,16,"Located in the centre of Tallinn, Rija Fonnental Design Hotel Tallinn is set less than 1 km from Russalka Beach and 2.9 km from Kalarand. Featuring a restaurant, the 4-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. Private parking is available on site. At the hotel, the rooms come with a wardrobe. Every room has a flat-screen TV, and certain rooms at Rija Fonnental Design Hotel Tallinn have a city view. At the accommodation each room is equipped with bed linen and towels. Guests at Rija Fonnental Design Hotel Tallinn can enjoy an à la carte or a continental breakfast. Around the clock guidance is available at the reception, where staff speak English, Estonian and Russian. Popular points of interest near the hotel include Kadriorg Art Museum, Kadriorg Palace and Tallinn International Bus Station. The nearest airport is Lennart Meri Tallinn, 4 km from Rija Fonnental Design Hotel Tallinn, and the property offers a paid airport shuttle service.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/9c/dd/1a/expediav2-8139394-ae08cd-668975.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/41/30/91/expediav2-8139394-f96bdb-793533.jpg?width=1020&height=1020&xhint=500&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/06/d9/94/expediav2-8139394-5a4756-640803.jpg?width=1020&height=1020&xhint=480&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/f3/d9/cb/expediav2-8139394-ba7e4c-739494.jpg?width=1020&height=1020&xhint=480&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ab/3b/99/expediav2-8139394-5e3975-575998.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10']"
Lermitage Hotel Tallinn,"Toompuiestee 19, 10137 Tallinn, Harjumaa",3,8.5,3324,50,16.67,"Nestled in the bustling core of Tallinn's city center and close to the magnificent Old Town, a location that is truly great, our hotel guarantees a pleasant stay in one of our 122 carefully designed rooms across various categories. In our lobby bar, visitors can unwind by the warm fire with a refreshing beverage. Parking availability in outdoor lot and garage. Our entire premises are equipped with fast, complimentary WiFi connection for your convenience.accorhotels.comRead less","['https://content.r9cdn.net/rimg/himg/27/38/76/leonardo-133340-161168923-667274.jpg?width=1020&height=1020&xhint=1500&yhint=1170&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/de/33/ee/expediav2-133340-ff50ae-050493.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ba/2b/3a/ostrovok-133340-7b96a6-948599.jpg?width=1020&height=1020&xhint=531&yhint=341&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/0b/d2/86/leonardo-133340-161169821-931411.jpg?width=1020&height=1020&xhint=1500&yhint=1170&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/bb/63/4d/leonardo-133340-161169217-799756.jpg?width=1020&height=1020&xhint=1500&yhint=1170&crop=true&watermarkheight=28&watermarkpadding=10']"
Kreutzwald Hotel Tallinn,"Endla 23, 10122 Tallinn, Harjumaa",4,8.3,3438,66,22,"Upscale spa hotel, a quick walk to National Library of Estonia Along with a full-service spa, this smoke-free hotel has a restaurant and a bar/lounge. WiFi in public areas is free. Additionally, a snack bar/deli, a sauna, and a coffee shop/cafe are onsite. Kreutzwald Hotel Tallinn offers 67 air-conditioned accommodations with safes and coffee/tea makers. Flat-screen televisions come with digital channels. Bathrooms include complimentary toiletries and hair dryers. Guests can surf the web using the complimentary wireless Internet access. Business-friendly amenities include desks and phones. Housekeeping is offered daily and irons/ironing boards can be requested. Recreational amenities at the hotel include a spa tub and a sauna. The recreational activities listed below are available either on site or nearby; fees may apply.Expedia GroupRead less","['https://content.r9cdn.net/rimg/himg/a4/48/97/expedia_group-50769-3f7027-000125.jpg?width=1020&height=1020&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/38/34/0b/leonardo-1275002-3091500_4K_O-371603.jpg?width=1020&height=1020&xhint=1560&yhint=1000&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/f8/d8/49/expedia_group-50769-6c3282-886485.jpg?width=1020&height=1020&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ae/60/e9/leonardo-1275002-3091516_4K_O-271897.jpg?width=1020&height=1020&xhint=576&yhint=400&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/c8/75/82/expedia_group-50769-adf40a-864429.jpg?width=1020&height=1020&crop=true&watermarkheight=28&watermarkpadding=10']"
Nordic Hotel Forum,"Viru Väljak 3, 10111 Tallinn, Harjumaa",3,9.1,3169,86,28.67,"Only 150 metres from the Tallinn Old Town, a modern Nordic Hotel Forum of 4+ star category offers spacious air conditioned rooms with free Wi-Fi. The hotel has a leisure centre on the top floor. The Nordic Hotel Forum’s guests can enjoy a variety of amenities, which are available to them for free. It includes a sauna, steam bath and a hot tub. There is also a gym to work out in, as well as a business centre that guests can use. The restaurant serves Estonian and international cuisine. Guests can also enjoy the Summer terrace and a lobby bar with an open fireplace. The Tallinn's Old Town is about 150 metres from the Forum, and Freedom Square is within 600 metres. The hotel is located a 10-minute drive from the Lennart Meri Tallinn Airport and offers an airport transfer at a surcharge. The Viru Shopping Mall is 50 metres away. Tallinn’s passenger port is 1.4 km awayBooking.comRead less","['https://content.r9cdn.net/rimg/himg/7c/06/1d/ice-214932428-68766106_3XL-995200.jpg?width=1020&height=1020&xhint=1151&yhint=789&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/3e/98/78/expedia_group-187198-41182697-498137.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/e3/25/9f/expediav2-187198-277bd4-188680.jpg?width=1020&height=1020&xhint=500&yhint=382&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/82/2b/e3/ice-134577-72548347_3XL-119166.jpg?width=1020&height=1020&xhint=1440&yhint=1034&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/82/2b/e3/ice-134577-72548355_3XL-588353.jpg?width=1020&height=1020&xhint=1440&yhint=1188&crop=true&watermarkheight=28&watermarkpadding=10']"
Tallink City Hotel,"A Laikmaa 5, 10145 Tallinn, Harjumaa",5,8.4,2472,78,26,"Upscale spa hotel near Port of Tallinn Along with a full-service spa, this smoke-free hotel has a restaurant and a bar/lounge. WiFi in public areas is free. Other amenities include a snack bar/deli, spa services, and a business center. Housekeeping is available on request. Tallink City Hotel offers 324 air-conditioned accommodations with minibars and laptop-compatible safes. Beds feature premium bedding. A pillow menu is available. Flat-screen televisions come with premium satellite channels. Bathrooms include showers, complimentary toiletries, and hair dryers. Guests can surf the web using the complimentary wireless Internet access. Business-friendly amenities include desks and phones. In-room massages and hypo-allergenic bedding can be requested. Housekeeping is provided daily. The recreational activities listed below are available either on site or nearby; fees may apply.Expedia GroupRead less","['https://content.r9cdn.net/rimg/himg/1f/ab/e4/expedia_group-42791-07533154-944427.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/21/04/5c/expedia_group-42791-159621197-507827.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/2a/4d/97/expedia_group-42791-47776b3e-968530.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/4c/17/1c/expedia_group-42791-191428565-535329.jpg?width=1020&height=1020&xhint=480&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/78/ec/7b/expedia_group-42791-139673477-549489.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10']"
Metropol Spa Hotel,"Roseni 9, 10111 Tallinn, Harjumaa",4,8.5,4154,79,26.33,"Metropol Spa Hotel is located in the heart of Tallinn, just a walking distance from the historical old town, shops and Old City Harbor. Free WiFi is available throughout the property. There is a conference centre in the hotel. Guest rooms in the hotel are fitted with air-conditioning, LCD TV, safe and minibar. Private bathrooms have bath or shower and hairdryer. Some rooms feature coffee and tea maker. Ironing faculties can be requested at the reception. The restaurant Nomad serves European dishes. A buffet breakfast can be enjoyed at the property. Languages spoken at the reception include English and Estonian. Maiden Tower is 1.6 km from Metropol Spa Hotel. The nearest airport is Lennart Meri Tallinn Airport, 5 km from the hotel.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/7b/a9/8b/leonardo-2102339-Exterior_2_O-662501.jpg?width=1020&height=1020&xhint=1500&yhint=1053&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/3e/f6/07/expediav2-3781324-7f8aca-464899.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/61/0e/66/leonardo-2102339-Spa_1_O-945918.jpg?width=1020&height=1020&xhint=1620&yhint=1000&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/49/0b/8d/expedia_group-3781324-147613872-185316.jpg?width=1020&height=1020&xhint=520&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/cd/8f/5a/expediav2-3781324-2f3fc9-491903.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10']"
