Estimator,MSE,seconds,"dataset.kwargs[""dataset""]"
IPS,0.000248840182888667,0.0,ecoli
DM,0.0011726880871346615,0.003000020980834961,ecoli
DR,0.00013074015784211268,0.0009999275207519531,ecoli
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0011726880871346615,0.042017459869384766,ecoli
B: A + one SE rule,0.00013074015784211268,0.023029327392578125,ecoli
C: A + theory split ratio,0.00013074015784211268,0.13357949256896973,ecoli
D: B + C,0.00013074015784211268,0.10805988311767578,ecoli
E: D + 100 K training/test splits,0.00013074015784211268,0.9775099754333496,ecoli
IPS,0.0001044968354512982,0.0,glass
DM,0.0009690533666257223,0.005036115646362305,glass
DR,9.170060804781349e-06,0.0010068416595458984,glass
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0009690533666257223,0.07768774032592773,glass
B: A + one SE rule,0.0009690533666257223,0.019451379776000977,glass
C: A + theory split ratio,0.0009690533666257223,0.17088580131530762,glass
D: B + C,0.0009690533666257223,0.15604329109191895,glass
E: D + 100 K training/test splits,9.170060804781349e-06,1.1161787509918213,glass
IPS,0.00023878588257277526,0.01564478874206543,letter
DM,0.14063269526554847,0.047066450119018555,letter
DR,0.00028226971799433806,0.0365447998046875,letter
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.00028226971799433806,1.0470061302185059,letter
B: A + one SE rule,0.00028226971799433806,0.7996547222137451,letter
C: A + theory split ratio,0.00028226971799433806,1.494819164276123,letter
D: B + C,0.00028226971799433806,1.4995813369750977,letter
E: D + 100 K training/test splits,0.00028226971799433806,13.875562906265259,letter
IPS,0.00018995777760451193,0.015625,optdigits
DM,0.015493334628552237,0.01706838607788086,optdigits
DR,3.4089326926265436e-05,0.019532203674316406,optdigits
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.015493334628552237,0.38674187660217285,optdigits
B: A + one SE rule,3.4089326926265436e-05,0.2619798183441162,optdigits
C: A + theory split ratio,3.4089326926265436e-05,0.6759061813354492,optdigits
