Estimator,MSE,seconds,"dataset.kwargs[""dataset""]"
IPS,0.000248840182888667,0.000995635986328125,ecoli
DM,0.0011726880871346615,0.009001016616821289,ecoli
DR,0.00013074015784211268,0.0009992122650146484,ecoli
\ensuremath{\tt OCV_{IPS}},0.000248840182888667,0.04000139236450195,ecoli
\ensuremath{\tt OCV_{DR}},0.00013074015784211268,0.11199760437011719,ecoli
\textsc{Slope},0.0011726880871346615,0.003998279571533203,ecoli
\ensuremath{\tt PAS{\text -}IF},0.0011726880871346615,13.179915189743042,ecoli
IPS,0.0001044968354512982,0.0,glass
DM,0.0009690533666257223,0.003999471664428711,glass
DR,9.170060804781349e-06,0.0010008811950683594,glass
\ensuremath{\tt OCV_{IPS}},0.0001044968354512982,0.05300307273864746,glass
\ensuremath{\tt OCV_{DR}},0.0009690533666257223,0.12599825859069824,glass
\textsc{Slope},0.0009690533666257223,0.003997802734375,glass
\ensuremath{\tt PAS{\text -}IF},0.0001044968354512982,7.7576234340667725,glass
IPS,0.00023878588257277526,0.02000141143798828,letter
DM,0.14063269526554847,0.05999875068664551,letter
DR,0.00028226971799433806,0.03999924659729004,letter
\ensuremath{\tt OCV_{IPS}},0.00028226971799433806,0.7689993381500244,letter
\ensuremath{\tt OCV_{DR}},0.00028226971799433806,1.6165401935577393,letter
\textsc{Slope},0.00028226971799433806,0.1660003662109375,letter
\ensuremath{\tt PAS{\text -}IF},0.14063269526554847,132.78428673744202,letter
IPS,0.00018995777760451193,0.003000974655151367,optdigits
DM,0.015493334628552237,0.023724794387817383,optdigits
DR,3.4089326926265436e-05,0.008998870849609375,optdigits
\ensuremath{\tt OCV_{IPS}},0.00018995777760451193,0.21654248237609863,optdigits
\ensuremath{\tt OCV_{DR}},3.4089326926265436e-05,0.5790004730224609,optdigits
\textsc{Slope},3.4089326926265436e-05,0.050000905990600586,optdigits
\ensuremath{\tt PAS{\text -}IF},0.015493334628552237,34.66682004928589,optdigits
IPS,0.00016883589006791652,0.0020003318786621094,page-blocks
DM,0.0012009629080463298,0.011949539184570312,page-blocks
DR,4.150657954067773e-06,0.003001689910888672,page-blocks
\ensuremath{\tt OCV_{IPS}},4.150657954067773e-06,0.10412764549255371,page-blocks
\ensuremath{\tt OCV_{DR}},0.0012009629080463298,0.21901559829711914,page-blocks
\textsc{Slope},4.150657954067773e-06,0.015001296997070312,page-blocks
\ensuremath{\tt PAS{\text -}IF},0.0012009629080463298,48.7682421207428,page-blocks
IPS,0.0007833253004597098,0.004001617431640625,pendigits
DM,0.054192593499822896,0.011998891830444336,pendigits
DR,0.0003007815392639354,0.007000446319580078,pendigits
\ensuremath{\tt OCV_{IPS}},0.0007833253004597098,0.25699925422668457,pendigits
\ensuremath{\tt OCV_{DR}},0.0003007815392639354,0.49822545051574707,pendigits
\textsc{Slope},0.0003007815392639354,0.037000179290771484,pendigits
\ensuremath{\tt PAS{\text -}IF},0.054192593499822896,42.78223729133606,pendigits
IPS,0.0010193113028684345,0.002001047134399414,satimage
DM,0.013851160267075757,0.008774280548095703,satimage
DR,7.674485388038214e-05,0.0037195682525634766,satimage
\ensuremath{\tt OCV_{IPS}},7.674485388038214e-05,0.17318344116210938,satimage
