Estimator,MSE,seconds,"dataset.kwargs[""dataset""]"
IPS,5.82326141132025e-05,0.0003597736358642578,ecoli
DM,0.00013816012243741046,0.0027670860290527344,ecoli
DR,0.00010772694108487387,0.0006804466247558594,ecoli
\ensuremath{\tt OCV_{IPS}},5.82326141132025e-05,0.06260466575622559,ecoli
\ensuremath{\tt OCV_{DR}},5.82326141132025e-05,0.11967062950134277,ecoli
\textsc{Slope},0.00013816012243741046,0.0034317970275878906,ecoli
\ensuremath{\tt PAS{\text -}IF},5.82326141132025e-05,5.177306413650513,ecoli
IPS,8.264261824596741e-07,0.0003178119659423828,glass
DM,0.010630379536591735,0.0025796890258789062,glass
DR,0.011737653788740499,0.0006129741668701172,glass
\ensuremath{\tt OCV_{IPS}},8.264261824596741e-07,0.06307697296142578,glass
\ensuremath{\tt OCV_{DR}},8.264261824596741e-07,0.12589454650878906,glass
\textsc{Slope},0.010630379536591735,0.003188610076904297,glass
\ensuremath{\tt PAS{\text -}IF},8.264261824596741e-07,3.6308507919311523,glass
IPS,2.537570426908443e-07,0.041613101959228516,letter
DM,0.0011566940418669648,0.06646990776062012,letter
DR,6.917516480470235e-06,0.05107998847961426,letter
\ensuremath{\tt OCV_{IPS}},2.537570426908443e-07,2.151876926422119,letter
\ensuremath{\tt OCV_{DR}},6.917516480470235e-06,3.3831708431243896,letter
\textsc{Slope},6.917516480470235e-06,0.32482290267944336,letter
\ensuremath{\tt PAS{\text -}IF},0.0011566940418669648,31.897125005722046,letter
IPS,5.988399115940476e-07,0.005596160888671875,optdigits
DM,0.0022050979789502555,0.05498528480529785,optdigits
DR,0.0001537649469913133,0.024230480194091797,optdigits
\ensuremath{\tt OCV_{IPS}},5.988399115940476e-07,1.0798225402832031,optdigits
\ensuremath{\tt OCV_{DR}},0.0001537649469913133,1.6598873138427734,optdigits
\textsc{Slope},5.988399115940476e-07,0.05389738082885742,optdigits
\ensuremath{\tt PAS{\text -}IF},0.0022050979789502555,12.06398606300354,optdigits
IPS,4.2098817074509014e-07,0.0012111663818359375,page-blocks
DM,3.863903275757265e-05,0.007092714309692383,page-blocks
DR,0.00012641539293388167,0.004711627960205078,page-blocks
\ensuremath{\tt OCV_{IPS}},4.2098817074509014e-07,0.2842991352081299,page-blocks
\ensuremath{\tt OCV_{DR}},3.863903275757265e-05,0.4720768928527832,page-blocks
\textsc{Slope},4.2098817074509014e-07,0.019600629806518555,page-blocks
\ensuremath{\tt PAS{\text -}IF},3.863903275757265e-05,10.795238256454468,page-blocks
IPS,4.043020045644448e-09,0.009060382843017578,pendigits
DM,0.0033056072512178164,0.021047115325927734,pendigits
DR,2.2506051129205874e-07,0.012811660766601562,pendigits
\ensuremath{\tt OCV_{IPS}},4.043020045644448e-09,0.7036421298980713,pendigits
\ensuremath{\tt OCV_{DR}},4.043020045644448e-09,1.1559689044952393,pendigits
\textsc{Slope},2.2506051129205874e-07,0.07969498634338379,pendigits
\ensuremath{\tt PAS{\text -}IF},0.0033056072512178164,13.466695547103882,pendigits
IPS,7.753349814835417e-07,0.004349708557128906,satimage
DM,0.003469620507408249,0.012839317321777344,satimage
DR,8.415981794537935e-05,0.0069048404693603516,satimage
\ensuremath{\tt OCV_{IPS}},7.753349814835417e-07,0.37517523765563965,satimage
\ensuremath{\tt OCV_{DR}},7.753349814835417e-07,0.6498849391937256,satimage
\textsc{Slope},8.415981794537935e-05,0.03853583335876465,satimage
\ensuremath{\tt PAS{\text -}IF},0.003469620507408249,10.076471090316772,satimage
IPS,9.215825251715448e-06,0.0003921985626220703,vehicle
DM,0.004372421221356727,0.0022470951080322266,vehicle
DR,0.0001498785170022309,0.0006368160247802734,vehicle
\ensuremath{\tt OCV_{IPS}},9.215825251715448e-06,0.05961489677429199,vehicle
