Estimator,MSE,seconds,"dataset.kwargs[""dataset""]"
IPS,0.000248840182888667,0.001003265380859375,ecoli
DM,0.0011726880871346615,0.0069959163665771484,ecoli
DR,0.00013074015784211268,0.0020051002502441406,ecoli
\ensuremath{\tt OCV_{DM}},0.00013074015784211268,0.2729988098144531,ecoli
IPS,0.0001044968354512982,0.0,glass
DM,0.0009690533666257223,0.006993293762207031,glass
DR,9.170060804781349e-06,0.002004384994506836,glass
\ensuremath{\tt OCV_{DM}},9.170060804781349e-06,0.3060140609741211,glass
IPS,0.00023878588257277526,0.022998571395874023,letter
DM,0.14063269526554847,0.06799936294555664,letter
DR,0.00028226971799433806,0.05100083351135254,letter
\ensuremath{\tt OCV_{DM}},0.14063269526554847,1.8769986629486084,letter
IPS,0.00018995777760451193,0.004000186920166016,optdigits
DM,0.015493334628552237,0.025002241134643555,optdigits
DR,3.4089326926265436e-05,0.016997098922729492,optdigits
\ensuremath{\tt OCV_{DM}},0.015493334628552237,0.8359971046447754,optdigits
IPS,0.00016883589006791652,0.0019998550415039062,page-blocks
DM,0.0012009629080463298,0.008000850677490234,page-blocks
DR,4.150657954067773e-06,0.004000186920166016,page-blocks
\ensuremath{\tt OCV_{DM}},0.0012009629080463298,0.31800174713134766,page-blocks
IPS,0.0007833253004597098,0.01200103759765625,pendigits
DM,0.054192593499822896,0.031996965408325195,pendigits
DR,0.0003007815392639354,0.016006946563720703,pendigits
\ensuremath{\tt OCV_{DM}},0.054192593499822896,1.2309916019439697,pendigits
IPS,0.0010193113028684345,0.005000114440917969,satimage
DM,0.013851160267075757,0.019997596740722656,satimage
DR,7.674485388038214e-05,0.009001493453979492,satimage
\ensuremath{\tt OCV_{DM}},0.013851160267075757,0.8130013942718506,satimage
IPS,0.00014148359791202043,0.0009975433349609375,vehicle
DM,0.0033176218071809477,0.005000591278076172,vehicle
DR,2.6969049655368815e-07,0.0010004043579101562,vehicle
\ensuremath{\tt OCV_{DM}},0.0033176218071809477,0.2879979610443115,vehicle
IPS,0.00024087614822015254,0.002001047134399414,yeast
DM,0.002281582381280279,0.011001110076904297,yeast
DR,0.0005294048271392916,0.0030007362365722656,yeast
\ensuremath{\tt OCV_{DM}},0.002281582381280279,0.4609954357147217,yeast
IPS,0.028389439495851005,0.0009982585906982422,ecoli
DM,0.01607854805591667,0.01000213623046875,ecoli
DR,0.009751573652711343,0.0030024051666259766,ecoli
\ensuremath{\tt OCV_{DM}},0.01607854805591667,0.2980005741119385,ecoli
IPS,0.0035943685904880596,0.0010025501251220703,glass
DM,0.005531278335189128,0.014003276824951172,glass
DR,0.006100357036158231,0.0029990673065185547,glass
\ensuremath{\tt OCV_{DM}},0.005531278335189128,0.3470020294189453,glass
IPS,0.0001469512181465907,0.034999847412109375,letter
DM,0.1398759177339801,0.08499979972839355,letter
DR,4.3446602687210357e-05,0.08300042152404785,letter
\ensuremath{\tt OCV_{DM}},0.1398759177339801,2.8775336742401123,letter
IPS,8.220093409819458e-07,0.004015684127807617,optdigits
DM,0.017241136721448416,0.02299952507019043,optdigits
DR,0.00018300521558838756,0.015001296997070312,optdigits
\ensuremath{\tt OCV_{DM}},0.017241136721448416,0.9370517730712891,optdigits
IPS,0.002542621469294209,0.003000974655151367,page-blocks
DM,0.0011483402498605434,0.012997627258300781,page-blocks
DR,3.6388557244484115e-06,0.00800013542175293,page-blocks
\ensuremath{\tt OCV_{DM}},0.0011483402498605434,0.5200040340423584,page-blocks
IPS,4.813813751506281e-06,0.007000446319580078,pendigits
DM,0.04679017012157775,0.021001815795898438,pendigits
DR,9.173839116442179e-07,0.011998653411865234,pendigits
\ensuremath{\tt OCV_{DM}},0.04679017012157775,0.780003547668457,pendigits
