,title,image,recipe keys,personal points,calories,summary
0,Red Curry Salmon,https://www.skinnytaste.com/wp-content/uploads/2024/09/One-Pan-Red-Curry-Salmon-11.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes']",6,349,"Thai-inspired Red Curry Salmon is simmered in an incredibly tasty coconut red curry sauce with bell peppers, garlic and onions."
1,Apple Butter,https://www.skinnytaste.com/wp-content/uploads/2024/09/Apple-Butter-6.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Kid Friendly', 'Vegetarian Meals']",1,34,"This easy apple butter recipe simmers on the stove, made with apples, cinnamon, nutmeg, and allspice, it smells and tastes like fall!"
2,Roasted Delicata Squash,https://www.skinnytaste.com/wp-content/uploads/2024/09/Roasted-Delicata-Squash-with-Toasted-Almond-Crumbs-9.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Vegetarian Meals']",4,177,"Roasted Delicata Squash with toasted almonds, sweetened with maple syrup and seasoned with sage and paprika, makes a perfect fall side dish."
3,Apple Bread,https://www.skinnytaste.com/wp-content/uploads/2014/09/Apple-Bread-3.jpg,['Vegetarian Meals'],4,124,"Moist cinnamon apple bread recipe made with applesauce, small chunks of fresh apples and walnuts in every bite. It’s so moist and delicious, you won’t believe it’s light!"
4,Autumn Salad with Pears and Gorgonzola,https://www.skinnytaste.com/wp-content/uploads/2008/10/Autumn-Salad-with-Pears-and-Gorgonzola-4.jpg,"['Gluten Free', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals']",5,175,"I love a good salad with lots of texture and flavors, and this Autumn Salad nails it. Sweet pears, honey Dijon dressing, crunchy pecans, and creamy gorgonzola cheese create a delicious fall dish that’s hard to resist."
5,Sesame Chicken,https://www.skinnytaste.com/wp-content/uploads/2024/09/Sesame-Chicken-13-1.jpg,"['Dairy Free Recipes', 'Freezer Meals', 'Gluten Free', 'High Protein Recipes']",9,513,"This lighter Sesame Chicken recipe features chicken breast bites in a sweet, savory, tangy, and slightly spicy sauce topped with sesame seeds and green onions."
6,Bacon in the Oven,https://www.skinnytaste.com/wp-content/uploads/2024/09/Bacon3ways.png,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes', 'Whole30 Recipes']",2,60,"Whether you’re a fan of tender, crisp, or extra crispy bacon, this simple method of cooking bacon in the oven is easy. There’s no stovetop mess, and it frees up your stove for cooking other breakfast items!"
7,Pumpkin Spice Latte,https://www.skinnytaste.com/wp-content/uploads/2010/10/Pumpkin-Spice-Latte-6.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Vegetarian Meals']",7,115,"Embrace all the cozy fall vibes with a homemade Pumpkin Spice Latte! This easy recipe tastes just like the original, but for a fraction of the cost."
8,Homemade Hamburger Helper,https://www.skinnytaste.com/wp-content/uploads/2024/09/Homemade-Hamburger-Helper-9.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High Protein Recipes', 'Kid Friendly', 'Under 30 Minutes']",12,453,"This one-skillet, creamy Homemade Hamburger Helper is made with ground beef, macaroni and cheese – real ingredients you can feel good about feeding your family for dinner!"
9,Fried Brown Rice,https://www.skinnytaste.com/wp-content/uploads/2024/08/Brown-Fried-Rice-9.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High-Fiber Recipes', 'Under 30 Minutes', 'Vegetarian Meals']",6,276,Fried Brown Rice is a healthy twist on classic fried rice with some extra hidden veggies to bulk it up. Just add your favorite protein to make it a meal!
10,Asian Grilled Chicken,https://www.skinnytaste.com/wp-content/uploads/2008/05/Asian-Grilled-Chicken-7.jpg,"['Dairy Free Recipes', 'Gluten Free', 'Kid Friendly', 'Low Carb']",4,288.5,"This Asian Grilled Chicken recipe is the perfect excuse to grill or use your indoor grill pan, an easy high-protein dinner idea!"
11,Sweet Potato Salad,https://www.skinnytaste.com/wp-content/uploads/2024/08/Sweet-Potato-Avocado-Salad-16.jpg,"['Dairy Free Recipes', 'Gluten Free', 'High-Fiber Recipes', 'Meal Prep Recipes', 'Vegetarian Meals', 'Whole30 Recipes']",8,290,"This healthy Sweet Potato Salad with avocado combines sweet, creamy, warm, and cold elements and can be enjoyed warm or cold. It’s a great vegetarian meal or side dish."
